map_id,t0,t1,t2,t3,ada_delta_offroad_last_minus_0
274,0.0,0.0,0.0,0.0,0.0
275,0.0,0.0,0.0,0.0,0.0
276,0.0,0.0,0.0,0.0,0.0
277,0.0,0.0,0.0,0.0,0.0
278,0.0,0.0,0.0,0.0,0.0
279,0.0,0.0,0.0,0.0,0.0
280,0.0,0.0,0.0,0.0,0.0
281,0.0,0.0,0.0,0.0,0.0
282,0.0,0.0,0.0,0.0,0.0
283,-2.299999952316284,-0.8999999761581421,-1.100000023841858,-2.700000047683716,-0.40000009536743164
284,0.0,0.0,0.0,0.0,0.0
285,0.0,-0.4000000059604645,0.0,-0.20000000298023224,-0.20000000298023224
286,0.0,0.0,0.0,0.0,0.0
287,0.0,0.0,0.0,0.0,0.0
288,0.0,-2.0,-1.5,0.0,0.0
289,0.0,0.0,0.0,0.0,0.0
290,0.0,0.0,0.0,-0.10000000149011612,-0.10000000149011612
291,0.0,0.0,0.0,0.0,0.0
292,0.0,0.0,0.0,0.0,0.0
293,0.0,0.0,0.0,0.0,0.0
294,0.0,0.0,0.0,0.0,0.0
295,0.0,0.0,0.0,0.0,0.0
296,-0.699999988079071,-0.30000001192092896,0.0,-0.30000001192092896,0.3999999761581421
297,0.0,0.0,0.0,0.0,0.0
298,-0.10000000149011612,-0.10000000149011612,-0.10000000149011612,-0.10000000149011612,0.0
299,0.0,0.0,0.0,0.0,0.0
300,0.0,0.0,0.0,0.0,0.0
301,-1.2000000476837158,-1.100000023841858,-0.30000001192092896,-0.6000000238418579,0.6000000238418579
302,0.0,0.0,0.0,0.0,0.0
303,0.0,0.0,0.0,0.0,0.0
304,0.0,0.0,0.0,0.0,0.0
305,0.0,0.0,0.0,0.0,0.0
306,0.0,0.0,0.0,0.0,0.0
307,0.0,0.0,0.0,0.0,0.0
308,-0.4000000059604645,-3.700000047683716,0.0,0.0,0.4000000059604645
309,0.0,0.0,0.0,0.0,0.0
310,-1.2000000476837158,-2.4000000953674316,0.0,0.0,1.2000000476837158
311,0.0,0.0,0.0,0.0,0.0
312,0.0,0.0,0.0,0.0,0.0
313,0.0,-0.20000000298023224,-0.20000000298023224,0.0,0.0
314,0.0,0.0,0.0,0.0,0.0
315,0.0,0.0,0.0,0.0,0.0
316,-0.10000000149011612,-0.4000000059604645,0.0,-0.10000000149011612,0.0
317,0.0,0.0,0.0,0.0,0.0
318,0.0,0.0,-0.4000000059604645,-0.20000000298023224,-0.20000000298023224
319,0.0,0.0,-0.30000001192092896,-2.700000047683716,-2.700000047683716
320,0.0,0.0,0.0,0.0,0.0
321,0.0,0.0,0.0,0.0,0.0
322,0.0,0.0,0.0,0.0,0.0
323,-1.2000000476837158,-2.0999999046325684,0.0,-1.7000000476837158,-0.5
324,-1.7999999523162842,-1.5,-1.0,0.0,1.7999999523162842
325,0.0,0.0,0.0,-0.20000000298023224,-0.20000000298023224
