local_id,orig_id,mean_t0
156,813,0.7333
157,814,0.5333
158,815,0.8000
159,816,0.5333
160,817,0.8000
161,820,0.6000
162,821,0.8000
163,829,0.8667
164,838,0.4667
165,840,0.7333
166,841,0.8667
167,846,0.6667
168,848,0.6667
169,855,0.2000
170,857,0.6667
171,859,0.8667
172,868,0.6667
173,870,0.8667
174,871,0.8000
175,872,0.0000
176,875,0.8000
177,876,0.6667
178,877,0.7333
179,879,0.7333
180,880,0.0667
181,888,0.8000
182,889,0.2667
183,890,0.4667
184,896,0.8667
185,899,0.0667
186,904,0.7333
187,915,0.2000
188,937,0.4667
189,945,0.8000
190,960,0.8667
191,969,0.8667
192,984,0.7333
193,991,0.8667
194,1000,0.8667
195,1008,0.8000
196,1010,0.7333
197,1011,0.8000
198,1014,0.7333
199,1018,0.8667
200,1022,0.6667
201,1028,0.6000
202,1032,0.8000
203,1033,0.6667
204,1034,0.7333
205,1039,0.7333
206,1042,0.6000
207,1045,0.8667
208,1057,0.6000
209,1058,0.6667
210,1066,0.4667
211,1074,0.8667
212,1075,0.6667
213,1076,0.8667
214,1104,0.4000
215,1106,0.3333
216,1107,0.4667
217,1110,0.3333
218,1113,0.7333
219,1142,0.8000
220,1144,0.7333
221,1145,0.7333
222,1150,0.8667
223,1155,0.6667
224,1158,0.7333
225,1167,0.8667
226,1168,0.8000
227,1181,0.8667
228,1191,0.8000
229,1202,0.4000
230,1204,0.6000
231,1206,0.5333
232,1208,0.6000
233,1209,0.8000
234,1213,0.8667
235,1229,0.8667
236,1231,0.6667
237,1233,0.7333
238,1242,0.4667
239,1245,0.3333
240,1251,0.8000
241,1254,0.8667
242,1278,0.6667
243,1279,0.8667
244,1283,0.5333
245,1287,0.5333
246,1293,0.6667
247,1296,0.5333
248,1301,0.4667
249,1309,0.5333
250,1316,0.6667
251,1317,0.8667
252,1325,0.6667
253,1328,0.8667
254,1345,0.4667
255,1349,0.7333
256,1359,0.8667
257,1365,0.5333
258,1367,0.8000
259,1376,0.7333
260,1377,0.6000
261,1378,0.7333
262,1379,0.6667
263,1401,0.0000
264,1409,0.7333
265,1422,0.6667
266,1423,0.3333
267,1426,0.8667
268,1427,0.8000
269,1432,0.1333
270,1433,0.8667
271,1438,0.3333
272,1443,0.8667
273,1447,0.8000
274,1457,0.6000
275,1459,0.7333
276,1461,0.8667
277,1475,0.7333
278,1478,0.8000
279,1483,0.6667
280,1484,0.6000
281,1488,0.7333
282,1494,0.8000
283,1495,0.8667
284,1507,0.6000
285,1516,0.6667
286,1521,0.4667
287,1526,0.6667
288,1528,0.6000
289,1533,0.0000
290,1534,0.6000
291,1537,0.7333
292,1543,0.6667
293,1552,0.8667
294,1554,0.2000
295,1557,0.7333
296,1562,0.5333
297,1569,0.8000
298,1574,0.4667
299,1588,0.1333
300,1593,0.8000
301,1594,0.7333
302,1602,0.8667
303,1607,0.5333
304,1608,0.7333
305,1625,0.8667
306,1626,0.8000
307,1631,0.8667
308,1636,0.7333
309,1639,0.6000
310,1649,0.6667
311,1651,0.8667
312,1654,0.3333
313,1661,0.8000
314,1667,0.8000
315,1673,0.6667
316,1677,0.2000
317,1680,0.8000
318,1691,0.8000
319,1692,0.6000
320,1694,0.4667
321,1696,0.4000
322,1700,0.5333
323,1704,0.6667
324,1709,0.6667
325,1714,0.4000
326,1716,0.8000
327,1718,0.6667
328,1721,0.5333
329,1728,0.8667
330,1732,0.6667
331,1734,0.8667
332,1737,0.7333
333,1742,0.8667
334,1748,0.8000
335,1754,0.4000
336,1755,0.7333
337,1764,0.5333
338,1767,0.6667
339,1772,0.5333
340,1773,0.6000
341,1778,0.8667
342,1784,0.6667
343,1794,0.6000
344,1801,0.6000
345,1802,0.7333
346,1806,0.8000
347,1823,0.3333
348,1826,0.8667
349,1841,0.4000
350,1847,0.8000
351,1863,0.0000
352,1864,0.6667
353,1872,0.6000
354,1873,0.7333
355,1892,0.6667
356,1903,0.2000
357,1904,0.8000
358,1907,0.6667
359,1909,0.3333
360,1910,0.8667
361,1920,0.7333
362,1921,0.6667
363,1924,0.4000
364,1932,0.7333
365,1933,0.7333
366,1934,0.8667
367,1937,0.6667
368,1941,0.6000
369,1946,0.4000
370,1947,0.4667
371,1950,0.8000
372,1952,0.8667
373,1958,0.8000
374,1961,0.8667
375,1968,0.2667
376,1975,0.6667
377,1984,0.7333
378,1986,0.7333
379,1993,0.4667
380,2000,0.7333
381,2012,0.6667
382,2017,0.6667
383,2040,0.8667
384,2046,0.6667
385,2055,0.2667
386,2059,0.8000
387,2064,0.6667
388,2068,0.6000
389,2081,0.2000
390,2084,0.8000
391,2085,0.4000
392,2095,0.4667
393,2106,0.8000
394,2107,0.7333
395,2109,0.2000
396,2110,0.5333
397,2114,0.8667
398,2118,0.7333
399,2120,0.8667
400,2140,0.4667
401,2141,0.2000
402,2147,0.8000
403,2156,0.7333
404,2158,0.8667
405,2174,0.3333
406,2183,0.6667
407,2190,0.8667
408,2196,0.8000
409,2197,0.6667
410,2204,0.8667
411,2208,0.4667
412,2210,0.6667
413,2211,0.8667
414,2220,0.8667
415,2230,0.6667
416,2234,0.8667
417,2236,0.5333
418,2245,0.8667
419,2247,0.4000
420,2250,0.6667
421,2255,0.8000
422,2260,0.4667
423,2263,0.3333
424,2274,0.8000
425,2279,0.7333
426,2281,0.6000
427,2283,0.6667
428,2286,0.6667
429,2290,0.4667
430,2294,0.7333
431,2300,0.7333
432,2307,0.8000
433,2324,0.8000
434,2328,0.8667
435,2335,0.6000
436,2337,0.8667
437,2341,0.8000
438,2342,0.8667
439,2348,0.8667
440,2352,0.2000
441,2369,0.4667
442,2379,0.8000
443,2382,0.8667
444,2386,0.2667
445,2393,0.6667
446,2396,0.8667
447,2407,0.5333
448,2414,0.3333
449,2419,0.8000
450,2422,0.8667
451,2431,0.8000
452,2438,0.2667
453,2447,0.8000
454,2448,0.8667
455,2450,0.8000
456,2457,0.8667
457,2462,0.7333
458,2465,0.7333
459,2477,0.6667
460,2480,0.5333
461,2481,0.8667
462,2483,0.8667
463,2488,0.5333
464,2489,0.8667
465,2498,0.6000
466,2500,0.4000
467,2504,0.4667
468,2516,0.6000
469,2531,0.0000
470,2540,0.8667
471,2550,0.6667
472,2566,0.8000
473,2568,0.8000
474,2570,0.8667
475,2578,0.6667
476,2580,0.8000
477,2582,0.1333
478,2583,0.8000
479,2587,0.7333
480,2594,0.8000
481,2598,0.6667
482,2601,0.8667
483,2602,0.6667
484,2603,0.7333
485,2608,0.4000
486,2612,0.4667
487,2614,0.7333
488,2621,0.4000
489,2635,0.7333
490,2637,0.5333
491,2649,0.4667
492,2660,0.3333
493,2661,0.3333
494,2664,0.3333
495,2667,0.6000
496,2668,0.6667
497,2673,0.8000
498,2675,0.6667
499,2683,0.6000
500,2695,0.8000
501,2716,0.7333
502,2717,0.7333
503,2742,0.5333
504,2743,0.7333
505,2745,0.8000
506,2754,0.6667
507,2757,0.6667
508,2758,0.6667
509,2761,0.4667
510,2767,0.6667
511,2785,0.3333
512,2790,0.8667
513,2804,0.3333
514,2805,0.2667
515,2814,0.7333
516,2815,0.8000
517,2817,0.3333
518,2818,0.4000
519,2823,0.8667
520,2832,0.7333
521,2836,0.7333
522,2837,0.3333
523,2838,0.8000
524,2857,0.6000
525,2858,0.6667
526,2871,0.7333
527,2872,0.8667
528,2875,0.8000
529,2884,0.8000
530,2896,0.6667
531,2900,0.6667
532,2901,0.8667
533,2905,0.8000
534,2907,0.7333
535,2908,0.7333
536,2911,0.5333
537,2913,0.8667
538,2923,0.4000
539,2931,0.6000
540,2939,0.6667
541,2951,0.6000
542,2958,0.8667
543,2959,0.8667
544,2961,0.2667
545,2965,0.6000
